Service,CostCentre,Spend Type,Amount
Corporate Asset and Facilities Management,Westgate House,Depreciation Charges and Revenue contribution to Capital,62180
Corporate Asset and Facilities Management,Westgate House,Support Service Recharges Income,-781870
Corporate Asset and Facilities Management,Princess Buildings,Premise Related,185390
Corporate Asset and Facilities Management,Princess Buildings,Supplies and Services,7500
Corporate Asset and Facilities Management,Princess Buildings,Support Service Recharges Expenditure,130680
Corporate Asset and Facilities Management,Princess Buildings,Depreciation Charges and Revenue contribution to Capital,27630
Corporate Asset and Facilities Management,Princess Buildings,Support Service Recharges Income,-369130
Corporate Asset and Facilities Management,Northgate House,Support Service Recharges Expenditure,105240
Corporate Asset and Facilities Management,Northgate House,Depreciation Charges and Revenue contribution to Capital,90
Corporate Asset and Facilities Management,Northgate House,Support Service Recharges Income,-269010
Corporate Asset and Facilities Management,Centre at Threeways,Premise Related,80270
Corporate Asset and Facilities Management,Centre at Threeways,Premise Related,14000
Corporate Asset and Facilities Management,Centre at Threeways,Supplies and Services,1000
Corporate Asset and Facilities Management,Centre at Threeways,Support Service Recharges Expenditure,63210
Corporate Asset and Facilities Management,Centre at Threeways,Support Service Recharges Income,-167410
Corporate Asset and Facilities Management,Mulcture House,Premise Related,234050
Corporate Asset and Facilities Management,Mulcture House,Supplies and Services,7500
Corporate Asset and Facilities Management,Mulcture House,Support Service Recharges Expenditure,199300
Corporate Asset and Facilities Management,Mulcture House,Support Service Recharges Income,-449380
Corporate Asset and Facilities Management,Centre at Threeways excluding CMBC occupied area,Depreciation Charges and Revenue contribution to Capital,8000
Corporate Asset and Facilities Management,Investment Properties,Premise Related,800
Corporate Asset and Facilities Management,Investment Properties,Supplies and Services,6180
Corporate Asset and Facilities Management,Investment Properties,"Grants, Contributions, Other Income ",-663800
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Premise Related,200
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Supplies and Services,500
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Depreciation Charges and Revenue contribution to Capital,5000
Corporate Asset and Facilities Management,Other Properties (Non-Investment),"Grants, Contributions, Other Income ",-48110
Corporate Asset and Facilities Management,Income from commercial properties,"Grants, Contributions, Other Income ",-50000
Corporate Asset and Facilities Management,Cost of Property Sales,Supplies and Services,23140
Corporate Asset and Facilities Management,Southgate Elland,Premise Related,19130
Corporate Asset and Facilities Management,Illingworth Rd,Premise Related,500
Corporate Asset and Facilities Management,Borough Market shops,Premise Related,1500
Corporate Asset and Facilities Management,Towngate 11 -23 Shops,Premise Related,250
Corporate Asset and Facilities Management,Budget Savings Targets,Supplies and Services,-1094810
Highways and Engineering Services,Highways & Engineering Management & Support,Employee Costs,33070
Highways and Engineering Services,Highways & Engineering Management & Support,Employee Costs,252470
Highways and Engineering Services,Highways & Engineering Management & Support,Transport Related,500
Highways and Engineering Services,Highways & Engineering Management & Support,Support Service Recharges Expenditure,501710
Highways and Engineering Services,Highways & Engineering Management & Support,Support Service Recharges Income,-749920
Highways and Engineering Services,Highways & Engineering Management & Support,"Grants, Contributions, Other Income ",-45720
Highways and Engineering Services,Performance Management,Employee Costs,32090
Highways and Engineering Services,Performance Management,Employee Costs,338730
Highways and Engineering Services,Performance Management,Employee Related,5000
Highways and Engineering Services,Performance Management,Transport Related,1000
Highways and Engineering Services,Performance Management,Supplies and Services,157580
Highways and Engineering Services,Performance Management,Support Service Recharges Income,-374400
Highways and Engineering Services,Performance Management,"Grants, Contributions, Other Income ",-156000
Highways and Engineering Services,Streetworks,Employee Costs,26760
Highways and Engineering Services,Streetworks,Employee Costs,245440
Highways and Engineering Services,Streetworks,Transport Related,100
Highways and Engineering Services,Streetworks,Supplies and Services,85340
Highways and Engineering Services,Streetworks,Support Service Recharges Expenditure,121970
Highways and Engineering Services,Streetworks,"Grants, Contributions, Other Income ",-898340
Highways and Engineering Services,Traffic,Employee Costs,7100
Highways and Engineering Services,Traffic,Employee Costs,330
Highways and Engineering Services,Traffic,Transport Related,350
Highways and Engineering Services,Traffic,Support Service Recharges Expenditure,87670
Highways and Engineering Services,Traffic,Support Service Recharges Income,-11380
Highways and Engineering Services,Highways Development Control,Employee Costs,18070
Highways and Engineering Services,Highways Development Control,Employee Costs,158050
Highways and Engineering Services,Highways Development Control,Transport Related,1000
Highways and Engineering Services,Highways Development Control,Supplies and Services,8530
Highways and Engineering Services,Highways Development Control,Support Service Recharges Expenditure,41780
Highways and Engineering Services,Highways Development Control,Support Service Recharges Income,-17260
Highways and Engineering Services,Highways Development Control,"Grants, Contributions, Other Income ",-45600
Highways and Engineering Services,Transport Strategy,Employee Costs,31920
Highways and Engineering Services,Transport Strategy,Employee Costs,359990
Highways and Engineering Services,Transport Strategy,Transport Related,300
Highways and Engineering Services,Transport Strategy,Supplies and Services,43910
Highways and Engineering Services,Transport Strategy,Large Contract Areas,66050
Highways and Engineering Services,Transport Strategy,Support Service Recharges Expenditure,294960
Highways and Engineering Services,Transport Strategy,"Grants, Contributions, Other Income ",-172400
Highways and Engineering Services,Flood Risk Management,Employee Costs,71420
Highways and Engineering Services,Flood Risk Management,Employee Costs,531800
Highways and Engineering Services,Flood Risk Management,Transport Related,2000
Highways and Engineering Services,Flood Risk Management,Supplies and Services,193000
Highways and Engineering Services,Flood Risk Management,Support Service Recharges Expenditure,229440
Highways and Engineering Services,Flood Risk Management,Support Service Recharges Income,-66940
Highways and Engineering Services,Flood Risk Management,"Grants, Contributions, Other Income ",-400500
Highways and Engineering Services,Capital Team,Employee Costs,59450
Highways and Engineering Services,Capital Team,Employee Costs,350810
Highways and Engineering Services,Capital Team,Transport Related,1500
Highways and Engineering Services,Capital Team,Supplies and Services,21430
Highways and Engineering Services,Capital Team,Support Service Recharges Expenditure,114420
Highways and Engineering Services,Capital Team,Support Service Recharges Income,-266570
Highways and Engineering Services,Capital Team,"Grants, Contributions, Other Income ",-394950
Highways and Engineering Services,Assets Team,Employee Costs,48490
Highways and Engineering Services,Assets Team,Employee Costs,368380
Highways and Engineering Services,Assets Team,Supplies and Services,93500
Highways and Engineering Services,Assets Team,Support Service Recharges Expenditure,231650
Highways and Engineering Services,Assets Team,Depreciation Charges and Revenue contribution to Capital,1030
Highways and Engineering Services,Assets Team,"Grants, Contributions, Other Income ",-50500
Highways and Engineering Services,Highways Man. & Projects,Premise Related,15180
Highways and Engineering Services,Highways Man. & Projects,Support Service Recharges Income,-28350
Highways and Engineering Services,Infrastructure Capital Financing,Depreciation Charges and Revenue contribution to Capital,8438640
Highways and Engineering Services,Minor Traffic Management Measures,Large Contract Areas,27990
Highways and Engineering Services,Depots - Client Costs,Premise Related,1790
Highways and Engineering Services,Depots - Client Costs,Premise Related,2720
Highways and Engineering Services,Depots - Client Costs,Depreciation Charges and Revenue contribution to Capital,31690
Highways and Engineering Services,Depots - Client Costs,"Grants, Contributions, Other Income ",7400
Highways and Engineering Services,Holme End Depot,Premise Related,12610
Highways and Engineering Services,Stannary Depot,Premise Related,30760
Highways and Engineering Services,Ainleys Deport,Premise Related,44445
Highways and Engineering Services,Structural Maintenance - Highway Works,Large Contract Areas,193320
Highways and Engineering Services,Bridges - Highway Works,Large Contract Areas,9670
Highways and Engineering Services,Environmental Maintenance - Highway Works,Large Contract Areas,9670
Highways and Engineering Services,Safety Maintenance - Highway Works,Large Contract Areas,135320
Highways and Engineering Services,Routine Maintenance - Highway Works,Large Contract Areas,434960
Highways and Engineering Services,Street Lighting Repairs & Maintenance - H/way Work,Large Contract Areas,193320
Highways and Engineering Services,Traffic Management - Highway Works,Large Contract Areas,43500
